Model,CPC,City
Attraction-Weighted,0.5814960652263258,New_York
Radiation-Pop,0.3399569851842827,New_York
Radiation-POI,0.3190406074358837,New_York
Power-Pop,0.7211725516699891,Oakland
Power-POI,0.6919599896148682,Oakland
Exp-Pop,0.6670929273536844,Oakland
Exp-POI,0.6707744786850507,Oakland
Attraction-Uniform,0.7280788769428356,Oakland
Attraction-Weighted,0.7497791598197125,Oakland
Radiation-Pop,0.5110058326307733,Oakland
Radiation-POI,0.5230083274098823,Oakland
Power-Pop,0.6614908757158827,Oklahoma_City
Power-POI,0.4942066302056466,Oklahoma_City
Exp-Pop,0.64058769033911,Oklahoma_City
Exp-POI,0.4935815674485448,Oklahoma_City
Attraction-Uniform,0.7815025564982027,Oklahoma_City
Attraction-Weighted,0.6193698588827462,Oklahoma_City
Radiation-Pop,0.5023780057208997,Oklahoma_City
Radiation-POI,0.3943932722039448,Oklahoma_City
Power-Pop,0.7330546062545013,Omaha
Power-POI,0.6728501084335369,Omaha
Exp-Pop,0.6706317697274533,Omaha
Exp-POI,0.6355398445572895,Omaha
Attraction-Uniform,0.7953481717919495,Omaha
Attraction-Weighted,0.7938689724032023,Omaha
Radiation-Pop,0.5131566192412215,Omaha
Radiation-POI,0.5013322960176435,Omaha
Power-Pop,0.5724139055086305,Philadelphia
Power-POI,0.4579319959284702,Philadelphia
Exp-Pop,0.5826916193575473,Philadelphia
Exp-POI,0.4961314590016407,Philadelphia
Attraction-Uniform,0.7032559649934226,Philadelphia
Attraction-Weighted,0.6133371544310129,Philadelphia
Radiation-Pop,0.4312148762567349,Philadelphia
Radiation-POI,0.3956740938916292,Philadelphia
Power-Pop,0.4930967470190925,Phoenix
Power-POI,0.3710135348740296,Phoenix
Exp-Pop,0.5600597027470771,Phoenix
Exp-POI,0.4614082655217957,Phoenix
Attraction-Uniform,0.7697694225873258,Phoenix
Attraction-Weighted,0.6614822961655596,Phoenix
Radiation-Pop,0.4981961360703759,Phoenix
Radiation-POI,0.4370040296101028,Phoenix
Power-Pop,0.7053252474307288,Portland
Power-POI,0.5369050841506043,Portland
Exp-Pop,0.6651710190358161,Portland
Exp-POI,0.5136782568732894,Portland
Attraction-Uniform,0.7752615551712282,Portland
Attraction-Weighted,0.6271142895121908,Portland
Radiation-Pop,0.5150483973759822,Portland
Radiation-POI,0.4090354643390923,Portland
Power-Pop,0.7269165121086762,Raleigh
Power-POI,0.6935086136159851,Raleigh
Exp-Pop,0.7259662752747905,Raleigh
Exp-POI,0.7027622571770782,Raleigh
