SUBZONE_C,amenity,shop,tourism,leisure,office,public_transport,A_j_raw,A_j
1117055,35,90,2,2,0,16,145,146.0
1117056,63,115,0,11,2,43,234,235.0
1117061,46,86,0,12,0,17,161,162.0
1117062,30,76,0,20,1,31,158,159.0
1117064,42,103,1,16,0,26,188,189.0
1117065,23,99,0,15,0,20,157,158.0
1117067,35,76,6,6,0,29,152,153.0
1117069,51,41,0,19,4,65,180,181.0
1117070,15,39,3,0,1,9,67,68.0
1117071,58,106,3,16,6,42,231,232.0
1117072,40,111,0,3,1,62,217,218.0
1118051,107,137,5,41,13,127,430,431.0
1118052,61,145,6,18,1,61,292,293.0
1118053,15,83,0,5,0,9,112,113.0
1118054,27,81,2,11,2,20,143,144.0
1118055,11,49,2,8,1,17,88,89.0
1118057,134,148,4,22,5,54,367,368.0
1118058,66,28,3,19,2,25,143,144.0
1118059,52,27,3,9,2,18,111,112.0
1118060,14,54,4,2,0,22,96,97.0
1118061,22,64,3,8,2,38,137,138.0
1119054,492,175,30,62,30,119,908,909.0
1119055,79,144,1,2,10,29,265,266.0
1119056,104,136,2,9,3,60,314,315.0
1119061,52,54,0,6,4,25,141,142.0
1119062,93,63,5,18,2,43,224,225.0
1119063,27,52,1,9,0,35,124,125.0
1119065,32,57,0,4,0,22,115,116.0
1119066,12,30,0,2,0,14,58,59.0
1119067,21,24,0,7,1,20,73,74.0
1119068,25,88,2,4,3,23,145,146.0
1119069,18,27,2,7,1,37,92,93.0
1119070,30,50,1,2,0,12,95,96.0
1119071,30,107,1,0,2,21,161,162.0
1119072,56,86,0,15,3,39,199,200.0
1119073,50,49,3,11,2,36,151,152.0
1119074,172,171,25,9,0,66,443,444.0
1119075,33,52,1,6,1,24,117,118.0
1119076,163,112,2,15,3,49,344,345.0
1120052,80,36,0,2,1,12,131,132.0
1120053,121,114,4,23,0,38,300,301.0
1120054,79,69,0,11,2,37,198,199.0
1120055,133,90,4,12,2,31,272,273.0
1120056,112,66,2,14,1,31,226,227.0
1120063,118,122,2,3,0,11,256,257.0
1120065,62,54,5,20,1,28,170,171.0
1120066,46,38,0,3,0,7,94,95.0
1120067,52,37,0,2,1,22,114,115.0
1120068,149,81,4,42,1,56,333,334.0
1120069,60,91,2,4,0,23,180,181.0
1120070,118,94,4,21,3,34,274,275.0
1120071,127,72,3,16,0,39,257,258.0
1120072,169,75,2,20,1,67,334,335.0
1120073,280,111,14,14,2,35,456,457.0
1121052,35,77,0,5,0,27,144,145.0
1121054,8,33,0,1,1,8,51,52.0
1121057,47,132,3,12,0,13,207,208.0
1121058,87,97,10,22,11,43,270,271.0
1121061,44,95,0,2,0,18,159,160.0
1121062,38,100,0,10,1,25,174,175.0
1121063,41,68,19,13,1,25,167,168.0
1121064,56,78,2,9,1,17,163,164.0
1121065,55,75,1,4,2,13,150,151.0
1121066,65,38,4,9,1,25,142,143.0
1121068,48,105,1,2,1,16,173,174.0
1121069,63,137,18,7,2,20,247,248.0
1121071,24,28,5,18,3,23,101,102.0
1121072,58,87,3,3,0,23,174,175.0
1121073,259,99,10,49,7,60,484,485.0
1121078,46,85,0,14,1,33,179,180.0
1121079,52,35,0,12,0,33,132,133.0
1121080,175,147,3,44,6,24,399,400.0
1121081,21,53,3,4,0,32,113,114.0
1121082,37,33,8,24,0,38,140,141.0
1121083,49,83,6,14,0,34,186,187.0
1122051,116,114,3,16,3,37,289,290.0
1122052,290,173,13,30,19,54,579,580.0
1122053,357,135,24,27,25,82,650,651.0
1122054,203,162,12,35,7,38,457,458.0
1122055,148,105,5,32,8,27,325,326.0
1122056,24,14,0,16,1,6,61,62.0
1122057,129,170,1,26,4,35,365,366.0
1122058,89,38,3,65,2,20,217,218.0
1122059,78,40,0,24,2,13,157,158.0
1122060,406,218,9,44,21,54,752,753.0
1122061,109,117,4,4,1,24,259,260.0
1122062,63,107,2,9,0,28,209,210.0
1122063,107,101,0,6,2,45,261,262.0
1122064,56,48,7,8,2,37,158,159.0
1122065,104,122,0,7,2,28,263,264.0
1122066,286,119,9,47,12,81,554,555.0
1122067,307,97,20,48,10,67,549,550.0
1122068,111,24,19,54,8,57,273,274.0
1123051,445,400,12,35,15,23,930,931.0
1123052,331,290,13,13,6,27,680,681.0
1123053,212,272,15,15,16,30,560,561.0
1123058,211,96,16,29,8,39,399,400.0
1123059,132,181,9,21,15,39,397,398.0
1123060,103,69,0,16,1,26,215,216.0
1123063,138,219,5,9,1,14,386,387.0
1123064,647,569,33,35,32,62,1378,1379.0
1123065,94,137,11,18,9,25,294,295.0
1123066,89,71,3,17,4,22,206,207.0
1123067,93,73,2,13,5,28,214,215.0
1123068,23,10,0,4,1,15,53,54.0
1123071,103,76,4,19,2,28,232,233.0
1123072,78,49,10,27,2,32,198,199.0
1123073,112,63,0,17,0,15,207,208.0
1123074,47,24,0,19,2,19,111,112.0
1123075,127,71,4,14,4,34,254,255.0
1123076,133,75,10,62,3,66,349,350.0
1123077,398,437,20,48,23,23,949,950.0
1123078,305,488,18,31,7,27,876,877.0
1123079,150,133,8,41,4,37,373,374.0
1123080,115,68,1,37,2,43,266,267.0
1124051,23,34,4,13,0,6,80,81.0
1124052,70,40,2,22,3,21,158,159.0
1124053,48,50,2,24,0,9,133,134.0
1124054,61,67,0,17,0,9,154,155.0
1124055,13,37,0,6,0,14,70,71.0
1124056,37,65,1,16,0,14,133,134.0
1124057,30,59,0,9,1,10,109,110.0
1124058,52,129,32,8,1,17,239,240.0
1124059,96,22,35,64,1,28,246,247.0
1124060,101,87,0,60,3,47,298,299.0
1124061,100,162,1,18,0,18,299,300.0
1124062,24,45,0,9,3,11,92,93.0
1124063,97,181,5,9,1,17,310,311.0
1124064,70,159,5,12,1,16,263,264.0
1124065,48,89,2,26,1,33,199,200.0
1124066,67,62,18,64,0,17,228,229.0
1124067,48,103,0,13,2,33,199,200.0
1124068,86,113,0,22,7,18,246,247.0
1124069,87,197,9,27,4,37,361,362.0
1124071,127,209,30,35,2,20,423,424.0
1124075,56,25,0,27,0,12,120,121.0
1124077,101,112,13,21,10,58,315,316.0
1124078,45,11,2,4,0,10,72,73.0
1124079,333,82,9,84,2,13,523,524.0
1124080,142,93,15,18,1,53,322,323.0
1124081,105,70,19,72,7,44,317,318.0
1124082,172,122,0,82,7,70,453,454.0
1125053,40,11,1,15,1,18,86,87.0
1125054,30,9,1,11,0,21,72,73.0
1125055,24,3,2,19,1,25,74,75.0
1125056,29,7,0,44,1,35,116,117.0
1125058,26,0,5,24,0,10,65,66.0
1125059,22,3,0,5,2,20,52,53.0
1125061,28,6,0,3,1,20,58,59.0
1125063,17,9,2,3,0,6,37,38.0
1125065,42,6,0,3,2,27,80,81.0
1125066,39,10,3,1,1,17,71,72.0
1125067,31,3,6,3,1,17,61,62.0
1125070,20,0,1,3,2,14,40,41.0
1125071,51,10,12,18,1,34,126,127.0
1125072,33,12,1,9,0,11,66,67.0
1125073,101,35,23,26,0,20,205,206.0
1125074,56,20,12,6,1,34,129,130.0
