Zone,Uniform_CPC,Uniform_R2,Uniform_MAE,Uniform_RMSE,Weighted_CPC,Weighted_R2,Weighted_MAE,Weighted_RMSE,RadPop_CPC,RadPop_R2,RadPop_MAE,RadPop_RMSE,RadPOI_CPC,RadPOI_R2,RadPOI_MAE,RadPOI_RMSE,Power_CPC,Power_R2,Power_MAE,Power_RMSE,Exp_CPC,Exp_R2,Exp_MAE,Exp_RMSE
1124077,0.7087462037720744,0.6914265292232609,3634.399946161022,16507.888313114876,0.7407306817630736,0.7815060931213563,3235.2827961222033,13890.948282581401,0.3372268141664044,-6.2635191460866135,8263.221630384623,80091.37912971104,0.40610203070366746,-1.786670845513071,7401.304245410892,49608.382417954694,0.6190412089585309,0.7546763197423948,4753.780474563065,14719.124028130049,0.6900761839434715,0.8234914505637626,3867.373112309212,12485.188456887066
1123077,0.7376590168750718,0.8637336473580689,3272.3541160915397,9875.426629785847,0.8287279332353611,0.97323217326549,2136.390761263085,4376.9149446766805,0.3610339070808083,-2.4295250771657657,7957.4267419035705,49542.57121728894,0.4056867598738646,-3.9052893011724947,7384.305357074147,59250.75162388056,0.6251799811231648,-0.3452281792323566,4675.3801748964015,31028.410540160232,0.7196908770949993,0.8651772808670586,3496.4827118886697,9822.976201168958
1105053,0.7931780682979056,0.9390207898392795,1977.505703407926,6077.7349025453295,0.8247515421813262,0.941493754116775,1675.6193214027587,5953.220543888378,0.30153213227443204,-4.0056802578249675,6671.0180264660075,55065.857731239055,0.4346463201208039,-1.1665732857691595,5387.807972111405,36227.43181579012,0.6413065471384299,0.5201470685005383,3429.6089538054225,17049.236373372187,0.7411270843805643,0.9143856613577122,2475.1855999132836,7201.51896714387
1122052,0.7058221352136123,0.676295467749001,3023.4647850420056,14490.030929028968,0.8220233480552595,0.9431379004008876,1829.1863669121997,6073.043169853925,0.23139629092830863,-7.731975430145017,7894.486230457422,75257.74046583015,0.4124816792789289,-1.5539824942275797,6023.921281573716,40700.88761288496,0.6454865064091468,0.5253099246830928,3643.5748300521263,17546.883727442295,0.7303609895127855,0.9102273805184028,2771.2623907772318,7630.743778596772
1123052,0.741577081089775,0.7460716838582526,2837.8523703939313,11937.02331246442,0.8089467485336903,0.8634545075638925,2098.0372980520597,8753.448070474551,0.3417616501740723,-3.896801040186559,7218.095663179816,52419.96238955933,0.3858591477019886,-3.680516987429841,6725.256714430334,51249.2351773387,0.6688711554089626,0.3174065550384919,3636.267172010872,19571.38374020739,0.7243558018526474,0.8754808187905205,3026.966587934661,8359.082350805851
1123053,0.7839184130202069,0.8040560879933693,2477.7845671330856,10517.561795613945,0.7731083073703401,0.7301415966466895,2601.7428984407106,12342.89852108239,0.2934919274628179,-7.37895841170903,8093.6494446074585,68777.15428944418,0.3304520267431759,-6.165310464143835,7659.923724638048,63601.402337540305,0.688007208714336,0.49394632036532826,3577.5881420969213,16902.365108632686,0.6927649293408699,0.790259476037287,3523.031865886961,10881.539915073568
1122067,0.8152542859068115,0.9331473675145656,1730.549721553417,5900.650337219158,0.89069255613556,0.9833025200185952,1023.9044920300909,2948.9410357177876,0.3536595738850647,-3.521056336696277,6033.42323264191,48469.20576678625,0.4393117847322594,-1.497220474708001,5227.752093320856,36022.54457298685,0.586611602448394,0.2834391046753295,3863.093214790248,19296.23127852799,0.6057536665867967,-1.5403494996645555,3684.2116145128425,36332.28223749287
1103074,0.7680075951749175,0.9351233927565675,2097.2660161885046,5153.90774238117,0.7988686703072996,0.9084693011805876,1818.2746235737936,6121.75527576407,0.2940465384455382,-2.409629654267802,6367.300541596451,37363.381979739934,0.33487897246186754,-2.083038611149367,5997.051109191891,35528.92416310738,0.7164750248819475,0.7064012492313254,2563.13259696635,10964.016408051088,0.6874461255236578,0.8361419247036637,2825.560688771338,8190.803359601727
1105063,0.6408198761730438,0.6266871206261888,2574.088105535751,12725.72299374235,0.6658094746598713,0.6258030010579854,2394.9984957274773,12740.783292655427,0.20126548545786313,-5.2800927533826085,5717.498521127809,52195.01273010691,0.3064854964581129,-2.717106900470619,4965.846032239898,40155.820515427,0.5590535343673393,0.6733781019117595,3160.0720002810945,11903.33422352575,0.5761873830358241,0.5942855671676479,3037.281140949345,13266.495302113535
1123078,0.7310037144675621,0.8292324420881348,3245.1460374772723,9705.678468618049,0.8193085254226883,0.9525341355161085,2179.845054625407,5116.982284920625,0.33548689680723776,-3.959170394087325,8004.510743019147,52303.136255851496,0.4171449417889386,-2.2488404871848444,7006.1508258415415,42333.81526478201,0.6124154402405697,-0.8142784317264564,4675.78388973336,31635.535103458657,0.7127567159184941,0.7489836929808964,3465.2761218766022,11767.228421082498
