Zone,CPC,R2,MAE,RMSE,Total_Actual
1106072.0,0.7609097302995744,0.882856989465119,933.7864350422212,2641.2118674460307,822124.8184741071
1106073.0,0.7413426313232284,0.7481000732770995,902.6017600536875,2884.519916564769,734553.4807814803
1106080.0,0.7480070428231694,0.7708214200214001,929.0615813954474,3495.1303232911137,776083.0503945646
1106081.0,0.7592859832482682,0.8341144804810425,2296.8643537626153,7207.609966688033,2008565.8201021734
1106082.0,0.7656995487494597,0.7924023441462487,1823.8663698968064,6797.445891069483,1638596.3783430508
1106083.0,0.7778103955182133,0.8208916986280552,1598.72187171531,5858.720724745573,1514611.6074195488
1106084.0,0.7300839769845631,0.8025498522047868,895.1298618882748,3068.99748191537,698086.8857744895
1106086.0,0.7649175557068253,0.7841944916546123,891.2248965472661,3301.537659873246,798029.9902328622
1106087.0,0.6815459594159219,0.523416575643089,1862.7668414802313,8595.167166169003,1231299.874268869
1106088.0,0.7687476242101832,0.8488557495767266,1568.2041142505543,5720.515401151373,1427474.917489163
1106089.0,0.6999914886154547,0.752038251274114,1406.0471321924251,6062.163218054997,986548.4147785828
1106090.0,0.7051966015630056,0.7845170961302536,855.4776547239169,2339.019570532612,610841.1479451478
1106091.0,0.7844908839220327,0.8903442700624613,1119.8245839292622,3147.971044717162,1093796.3052654786
1107052.0,0.7043287667357269,0.7322461584214897,1018.8939992005876,3314.7552459807716,725390.781050459
1107054.0,0.7399566274790482,0.826748189723616,698.0924110229524,1893.342113338156,565092.0886610629
1107055.0,0.6984637747998418,0.6695466861196857,537.580491121547,1675.8267015053402,375280.5929236864
1107057.0,0.7410208616866474,0.8628854193142501,939.1511471362433,2781.47251198978,763348.421651562
1107059.0,0.678231214783439,0.6562317205788681,711.5435627868417,2539.424126209277,465489.2794085769
1107060.0,0.7377060426295928,0.6863193964991837,1668.5946625911386,6028.2900618497815,1339105.1017596289
1107061.0,0.706001975266047,0.7690979539728569,723.6676577172847,2375.6312927372214,518139.6782761992
1107062.0,0.7062301250690247,0.7203335986417442,1141.0424844281602,3761.758070510571,817610.8698298729
1107064.0,0.6789558708490508,0.7146543508266672,1381.3339730592504,5304.3552415033,905703.5308446866
1107065.0,0.7225857501168493,0.8458813610734008,1190.6931320397114,3882.8203580209915,903489.6527483049
1107068.0,0.7303669482548198,0.7174758001441564,560.4358742038861,2416.5381899742183,437527.0418680298
1107069.0,0.7829248854141742,0.8845830753204451,1268.5412766939594,4531.186319556975,1230117.6910746384
1107070.0,0.7238380166869062,0.6909020763179468,815.3624260831142,3611.357053302121,621496.8064446027
1107071.0,0.7245015017126435,0.7828230283131326,1358.2543800139945,4339.3196166648495,1037800.745812876
1107072.0,0.7559324480272829,0.8162326260156055,1049.1272948925086,3926.1689241409663,904836.7707623822
1107073.0,0.7808427939516227,0.8830839819453719,1558.3041693216533,5726.859571318404,1496747.6249437106
1108058.0,0.7332150188250726,0.7718673653087967,602.308773942918,1781.5298086679509,475236.63572295435
1108059.0,0.667685211561631,0.6699724788948176,530.6166671042607,1770.7181003744308,336111.45910878346
1108060.0,0.6598452058731893,0.6038210539897666,2068.3774081346196,9923.213258274589,1279986.2060742301
1108061.0,0.6888437249017116,0.6123169396468026,1191.0579878721826,4155.188498770003,805761.3698065303
1108062.0,0.7074657563178854,0.7485017920556332,723.0151025662301,2348.2873418513595,520262.7807757623
1108063.0,0.711120092282815,0.6612314845464198,1092.728720384918,3900.2806503625543,796245.7391332852
1108064.0,0.7737264481419258,0.8862280487327564,586.4281664626405,1908.9915671839174,545548.200515336
1108065.0,0.6935677190334059,0.7967703027444419,1156.0466095812578,3452.2566654243324,794132.4280498486
1108066.0,0.6902108586239155,0.6602595619033477,1799.4525025162711,8444.329999788459,1222717.975514287
