ORIGIN_SUBZONE,distance_bin,COUNT
1102068.0,0.0,52816.504011410005
1102068.0,1.0,161032.95353029226
1102068.0,2.0,45645.96084213194
1102068.0,3.0,37473.35123912383
1102068.0,4.0,31001.353349108296
1102068.0,5.0,21940.923920972684
1102068.0,6.0,28442.396607183437
1102068.0,7.0,25460.699410902635
1102068.0,8.0,26897.95894543658
1102068.0,9.0,21988.853126326725
1102068.0,10.0,18451.864765977138
1102068.0,11.0,15746.135754884188
1102068.0,12.0,12653.78925501152
1102068.0,13.0,8897.822273056625
1102068.0,14.0,4117.316067420188
1102068.0,15.0,3416.2240420700837
1102068.0,16.0,2147.8731363078127
1102068.0,17.0,572.4964107143636
1102069.0,0.0,254438.0571612762
1102069.0,1.0,278335.22892554966
1102069.0,2.0,103218.24226735407
1102069.0,3.0,95135.44408308597
1102069.0,4.0,67568.60343026761
1102069.0,5.0,79302.55061076395
1102069.0,6.0,79915.16831510208
1102069.0,7.0,58348.09010986641
1102069.0,8.0,67573.0548246396
1102069.0,9.0,49528.914387109115
1102069.0,10.0,46427.53987528101
1102069.0,11.0,24737.428036998088
1102069.0,12.0,15555.979989581745
1102069.0,13.0,19900.82299353337
1102069.0,14.0,10452.93752120423
1102069.0,15.0,8610.056200148232
1102069.0,16.0,5401.1099131840865
1102069.0,17.0,1348.6253374710839
1102069.0,18.0,911.6216344123469
1102069.0,19.0,1149.9690712476204
1102070.0,0.0,138472.6033663916
1102070.0,1.0,162057.27845366314
1102070.0,2.0,69941.16799383839
1102070.0,3.0,49852.456343218335
1102070.0,4.0,34757.605759679405
1102070.0,5.0,32988.49278360597
1102070.0,6.0,39590.69056349424
1102070.0,7.0,43388.30892797622
1102070.0,8.0,18385.571076409575
1102070.0,9.0,23625.150595384872
1102070.0,10.0,14199.833686671245
1102070.0,11.0,20215.479492285474
1102070.0,12.0,12546.453523395565
1102070.0,13.0,4917.497576663214
1102070.0,14.0,4116.455814197455
1102070.0,15.0,2279.984524749078
1102070.0,16.0,707.7747979511481
1102070.0,17.0,267.82873277991735
1102070.0,18.0,727.690594022557
