ORIGIN_SUBZONE,distance_bin,prob
BKSZ03,21.0,0.004422873201384499
BKSZ03,22.0,0.0016228184284433553
BKSZ03,23.0,0.004262540471966576
BKSZ03,24.0,0.00046430354328429185
BKSZ03,25.0,0.0017269409671944384
BKSZ03,26.0,0.0006096788971920913
BKSZ03,27.0,0.0001015166345620511
BKSZ03,28.0,0.0031337955653728145
BKSZ04,0.0,0.18782740223077762
BKSZ04,1.0,0.1637408886052144
BKSZ04,2.0,0.1620676408463693
BKSZ04,3.0,0.05924347538050842
BKSZ04,4.0,0.03684160885015176
BKSZ04,5.0,0.05754403505255945
BKSZ04,6.0,0.016700308403547064
BKSZ04,7.0,0.03617282571431247
BKSZ04,8.0,0.02416817804394882
BKSZ04,9.0,0.02649809463928749
BKSZ04,10.0,0.05147636127181623
BKSZ04,11.0,0.043252096688793436
BKSZ04,12.0,0.040330553409854725
BKSZ04,13.0,0.04915883973873536
BKSZ04,14.0,0.01518116499951136
BKSZ04,15.0,0.004634016162077163
BKSZ04,16.0,0.006929329993869898
BKSZ04,17.0,0.0023065317828906413
BKSZ04,18.0,0.0029334458327596583
BKSZ04,19.0,0.001176329346137259
BKSZ04,20.0,0.0031399329706756135
BKSZ04,21.0,0.0026594227873485833
BKSZ04,22.0,0.0018378100529307232
BKSZ04,23.0,0.00014845767471112582
BKSZ04,24.0,0.0014840062448420526
BKSZ04,25.0,3.4338456016765116e-05
BKSZ04,27.0,0.0025129048203527556
BKSZ05,0.0,0.09349333768871149
BKSZ05,1.0,0.21920724802399424
BKSZ05,2.0,0.1377122678589287
BKSZ05,3.0,0.0989455554868018
BKSZ05,4.0,0.034167920036956
BKSZ05,5.0,0.047517156135809
BKSZ05,6.0,0.018623463053298393
