Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
RCSZ01,0.5077945992181278,0.18620687200613695,0.6389545407864494,0.32848200449693155,0.25899856406542787,-8.917241052382213,0.21080168815565478,-20.50863019786788,0.4805897741222983,-1.920195609370876,0.544758601752019,0.1657810574723857
NTSZ03,0.49944536662978517,0.22467928551796723,0.7017112482981153,0.7803233932887752,0.16454142574067449,-14.67008450781459,0.21889774054669645,-7.023804261122043,0.6533423948078434,0.692505365950842,0.5715340411258576,0.4417911569509698
JESZ09,0.599127316263713,0.5416752104603795,0.65360995675732,0.7174768980998439,0.2126660908345604,-7.059875147953274,0.2758529408156625,-8.217970732306775,0.5216766634511499,0.5101919096246764,0.5370055751745674,0.5389298537724991
BLSZ03,0.6192818656183032,0.7747124723484208,0.6930513691043667,0.8915857850370801,0.33018739990491713,-1.5632521279335125,0.35731274767379767,-4.205154488368017,0.5569196563493568,0.7553469620633972,0.6007892747007767,0.7977889023663166
BLSZ04,0.6039083270502484,0.4154396302519082,0.7406333025491466,0.9321923872024656,0.20279766248408468,-5.761467488286376,0.2278991177291444,-8.583063225416803,0.5567653780822742,0.45527768802718493,0.6041504711372465,0.6758538493827109
QTSZ01,0.630031382395686,0.6214516555260703,0.6730385398385954,0.5222297441617124,0.34358207383266065,-2.198780232060734,0.27886260950013886,-11.654153239726813,0.6074691741307731,0.3032597095117575,0.5670393945886287,0.17777938743671018
KLSZ06,0.575086802113267,0.3831166655518359,0.7129663266293175,0.722928505218667,0.06395870574038481,-28.222126632210585,0.35602142641398826,-6.185517031568593,0.6255403423200061,-0.0010517773725200463,0.6535039204128691,0.5738169735143305
NTSZ02,0.5068676066692543,0.24537037360344216,0.6437178756751699,0.6614127371339906,0.03670721217993005,-44.30384001098623,0.1915803894448367,-20.062193097610844,0.6255004013629049,0.6068338737252268,0.569506267766854,0.43596415525475574
CLSZ09,0.5935623776626233,0.4515015354984716,0.5869755794080247,0.468872368650991,0.3637643072397624,-4.8850369674606995,0.25835056155222447,-14.248919741948049,0.5579258504539659,0.4576836288791639,0.5005780001029749,0.13854919491492101
QTSZ09,0.531727127531221,0.215687175534518,0.5638342231606959,0.01857524892728324,0.11816025102797288,-20.65738926684108,0.17395847629203248,-14.484364487428985,0.4826599120842464,-0.7346261865437511,0.4673762397182324,-0.3775409466191453
CLSZ06,0.6831544798964718,0.7696549444977808,0.6766186875656566,0.7256056434157816,0.43925596691472846,-8.427255165260407,0.45625777544457424,-5.475399038235741,0.6653174242467265,0.6742754847550243,0.611729677395205,0.48135823387109566
KLSZ07,0.5930522059925459,0.44582465819571293,0.7127435930145104,0.6502962112253154,0.2385001888923222,-28.926584845465708,0.25574266419125685,-21.48420639129728,0.646036091394861,-0.017153878306652492,0.6207401245582339,0.366510346074962
KLSZ03,0.5460437649788911,0.31962519686962987,0.6753918217088485,0.634912584404651,0.3191885457620119,-6.9243201860272166,0.2713778044482173,-13.41865725179336,0.6763939558211994,0.70080031053921,0.6234564693164538,0.5916187391937417
KLSZ08,0.5888777177196743,0.4212991686848543,0.6890037250931307,0.5732266596074349,0.20967417234769004,-20.868455812945978,0.24425151931718125,-14.684491150714765,0.6359779956801737,0.07267282480197446,0.6491378701305232,0.5396673877958331
