Zone,Model,CPC,R2
HGSZ10,Global P_bin,0.17797300705057587,0.0905796864016919
JESZ01,No POI (Eq),0.6572596124947793,0.5698557184394493
JESZ01,POI Weighted,0.6811769420717156,0.49064654206092084
JESZ01,Global P_bin,0.5949141073295158,0.4731364330154516
JESZ02,No POI (Eq),0.6781282928378315,0.6562535846319023
JESZ02,POI Weighted,0.7305947980671874,0.7136365715673221
JESZ02,Global P_bin,0.5628451917310606,0.4235155559841137
JESZ03,No POI (Eq),0.6657113726313009,0.7191844898723841
JESZ03,POI Weighted,0.7470402893622695,0.8454552725663136
JESZ03,Global P_bin,0.5457755147726707,0.35482834737830116
JESZ04,No POI (Eq),0.5897833077497429,0.39495246377947657
JESZ04,POI Weighted,0.6806364577260122,0.6560406355722144
JESZ04,Global P_bin,0.5079404359146263,0.2089158052696798
JESZ05,No POI (Eq),0.552236420772641,0.37559109356218556
JESZ05,POI Weighted,0.599860561375396,0.43898295483416094
JESZ05,Global P_bin,0.4827883077429388,0.2475003886941931
JESZ06,No POI (Eq),0.5837446305027072,0.51721612961057
JESZ06,POI Weighted,0.6207704460432939,0.4907341890917194
JESZ06,Global P_bin,0.5274906640222905,0.31816796727869223
JESZ07,No POI (Eq),0.6651403355304519,0.7051155716131745
JESZ07,POI Weighted,0.6376487373578048,0.698742083770253
JESZ07,Global P_bin,0.5451143341598554,0.26312206887534595
JESZ08,No POI (Eq),0.6870058754213899,0.682792895233022
JESZ08,POI Weighted,0.6841775005647747,0.7400807133205644
JESZ08,Global P_bin,0.5780926037469227,0.34432765364755735
JESZ09,No POI (Eq),0.599127316263713,0.540545040036862
JESZ09,POI Weighted,0.6523614105266187,0.7162923868135298
JESZ09,Global P_bin,0.4671823258222413,0.1919078436453172
JESZ10,No POI (Eq),0.6263817000316472,0.6233685596165841
JESZ10,POI Weighted,0.6003517254910201,0.7135320140152499
JESZ10,Global P_bin,0.5014717861791747,0.20257494286372035
JWSZ01,No POI (Eq),0.7279972102990198,0.8065149691492561
JWSZ01,POI Weighted,0.7747873217609321,0.9514087681147163
JWSZ01,Global P_bin,0.5433179969579542,0.540222722008477
JWSZ02,No POI (Eq),0.6717388714321498,0.5993331789772662
JWSZ02,POI Weighted,0.7112728872968764,0.7914134643211876
JWSZ02,Global P_bin,0.551985607919988,0.44458822501847695
JWSZ03,No POI (Eq),0.6792704673342281,0.7587287798472966
JWSZ03,POI Weighted,0.7112374704567251,0.7081967714831017
JWSZ03,Global P_bin,0.5214291735373341,0.325275991051721
JWSZ04,No POI (Eq),0.5516906753911998,0.47441406487940185
JWSZ04,POI Weighted,0.7312904257275967,0.9059288097755365
JWSZ04,Global P_bin,0.469966557789721,0.2113176000875152
JWSZ05,No POI (Eq),0.6692059553136318,0.540315253870149
JWSZ05,POI Weighted,0.7006082588663739,0.7618520960096447
JWSZ05,Global P_bin,0.574269814793003,0.37393870775484295
JWSZ06,No POI (Eq),0.6756470269747514,0.6487509235529598
JWSZ06,POI Weighted,0.717873698672207,0.8198608985498858
JWSZ06,Global P_bin,0.558064944494069,0.3457471345151243
JWSZ07,No POI (Eq),0.5252681984633472,0.4702019540229829
JWSZ07,POI Weighted,0.7667575660784008,0.9679599173344319
JWSZ07,Global P_bin,0.4422695705264698,0.24621570333266185
JWSZ08,No POI (Eq),0.7539549401160944,0.9433635057826373
JWSZ08,POI Weighted,0.8032060596017403,0.9690824505958385
JWSZ08,Global P_bin,0.49957963047257736,0.41030352008628257
JWSZ09,No POI (Eq),0.6824553555102478,0.865186970244363
JWSZ09,POI Weighted,0.7411280635619503,0.8854896536551786
JWSZ09,Global P_bin,0.4896649369808775,0.36346105659879224
KLSZ01,No POI (Eq),0.5930958241728225,0.42360961088571936
KLSZ01,POI Weighted,0.6895237588142931,0.5156432090294355
KLSZ01,Global P_bin,0.5581092776084183,0.21125906212691803
